iter	Passed	Remaining
1138	36529	91755
1139	36552	91702
1140	36578	91654
1141	36611	91625
1142	36634	91570
1143	36659	91520
1144	36683	91468
1145	36707	91416
1146	36736	91377
1147	36762	91330
1148	36792	91293
1149	36818	91246
1150	36842	91193
1151	36867	91143
1152	36892	91095
1153	36916	91042
1154	36941	90993
1155	36968	90949
1156	36992	90897
1157	37023	90863
1158	37051	90823
1159	37078	90778
1160	37108	90742
1161	37137	90701
1162	37163	90656
1163	37187	90604
1164	37213	90557
1165	37237	90507
1166	37263	90461
1167	37287	90409
1168	37315	90368
1169	37349	90340
1170	37377	90298
1171	37399	90244
1172	37421	90186
1173	37443	90131
1174	37475	90100
1175	37503	90060
1176	37529	90012
1177	37554	89964
1178	37576	89909
1179	37599	89856
1180	37626	89813
1181	37654	89770
1182	37678	89722
1183	37708	89685
1184	37734	89638
1185	37761	89595
1186	37790	89558
1187	37829	89543
1188	37856	89499
1189	37885	89459
1190	37912	89417
1191	37944	89386
1192	37970	89340
1193	37994	89290
1194	38021	89248
1195	38050	89208
1196	38080	89172
1197	38108	89130
1198	38137	89093
1199	38171	89067
1200	38202	89033
1201	38229	88989
1202	38258	88952
1203	38283	88903
1204	38319	88881
1205	38349	88845
1206	38379	88811
1207	38413	88782
1208	38439	88738
1209	38464	88690
1210	38489	88643
1211	38512	88590
1212	38539	88548
1213	38562	88496
1214	38586	88448
1215	38610	88398
1216	38642	88367
1217	38669	88324
1218	38698	88286
1219	38721	88234
1220	38747	88189
1221	38771	88140
1222	38796	88091
1223	38821	88045
1224	38849	88005
1225	38875	87961
1226	38903	87920
1227	38933	87884
1228	38963	87849
1229	38988	87803
1230	39014	87758
1231	39049	87733
1232	39075	87690
1233	39101	87646
1234	39127	87601
1235	39154	87559
1236	39176	87506
1237	39205	87468
1238	39228	87416
1239	39252	87368
1240	39276	87320
1241	39300	87271
1242	39328	87231
1243	39352	87182
1244	39376	87133
1245	39399	87082
1246	39420	87028
1247	39448	86988
1248	39474	86944
1249	39498	86895
1250	39524	86852
1251	39548	86805
1252	39572	86756
1253	39600	86717
1254	39635	86692
1255	39663	86652
1256	39690	86612
1257	39716	86567
1258	39743	86526
1259	39773	86490
1260	39797	86444
1261	39824	86402
1262	39856	86370
1263	39881	86325
1264	39913	86294
1265	39936	86245
1266	39958	86193
1267	39983	86148
1268	40015	86117
1269	40043	86077
1270	40077	86052
1271	40104	86009
1272	40152	86013
1273	40193	86002
1274	40237	85996
1275	40271	85972
1276	40300	85935
1277	40326	85891
1278	40360	85864
1279	40389	85826
1280	40421	85798
1281	40450	85760
1282	40476	85715
1283	40504	85677
1284	40531	85636
1285	40564	85607
1286	40593	85572
1287	40621	85532
1288	40648	85491
1289	40692	85486
1290	40724	85455
1291	40751	85414
1292	40781	85380
1293	40812	85347
1294	40843	85314
1295	40870	85272
1296	40895	85227
1297	40930	85203
1298	40960	85168
1299	40995	85143
1300	41027	85113
1301	41053	85070
1302	41078	85026
1303	41110	84994
1304	41146	84972
1305	41180	84946
1306	41205	84900
1307	41236	84868
1308	41275	84851
1309	41322	84852
